"Value Research Online"
"Date: 26-Mar-2018 00:30"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"Reliance Regular Savings Fund - Equity Option - Direct Plan","* ","EQ-MC     ","Jan 01, 2013","1.34","10.86","60/87","3294.62"
"UTI Mid Cap Fund","* * * ","EQ-MC     ","Apr 07, 2004","2.32","10.75","61/87","4166.76"
"ICICI Prudential Indo Asia Equity Fund - Direct Plan","* * * ","EQ-MC     ","Jan 01, 2013","1.98","10.72","62/87","183.31"
"BNP Paribas Dividend Yield Fund - Direct Plan","* * * ","EQ-MC     ","Jan 01, 2013","0.92","10.69","63/87","772.89"
"Kotak Classic Equity - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.48","10.57","11/162","169.33"
"Reliance Growth Fund","* ","EQ-MC     ","Oct 08, 1995","1.98","10.49","64/87","7032.8"
"ICICI Prudential Advisor - Very Aggressive Fund","Unrated","EQ-LC     ","Dec 18, 2003","-","10.38","12/162","4.47"
"HDFC Growth Fund","* * * ","EQ-LC     ","Sep 11, 2000","2.29","10.19","13/162","1169.14"
"Axis Midcap Fund - Direct Plan","* * ","EQ-MC     ","Jan 01, 2013","1.37","10.18","65/87","1303.95"
"ICICI Prudential Indo Asia Equity Fund","* * ","EQ-MC     ","Oct 18, 2007","2.54","10.16","66/87","183.31"
"Reliance ETF Dividend Opportunities","* * * ","EQ-LC     ","Apr 15, 2014","0.11","10.12","14/162","17.81"
"SBI Bluechip Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1.12","10.03","15/162","17664.55"
"Reliance Regular Savings Fund - Equity Option","* ","EQ-MC     ","Jun 08, 2005","2.04","9.97","67/87","3294.62"
"ICICI Prudential Focused Bluechip Equity Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1.1","9.89","16/162","16275.05"
"L&T Business Cycles Fund - Direct Plan","* * ","EQ-MC     ","Aug 20, 2014","1.74","9.84","68/87","1019.19"
"Union Small Cap Fund - Direct Plan","* ","EQ-SC     ","Jun 10, 2014","1.78","9.75","19/20","308.05"
"Invesco India Dynamic Equity Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1.01","9.71","17/162","864.35"
