"Value Research Online"
"Date: 01-Apr-2018 13:07"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"HDFC Small Cap Fund - Direct Plan","* * * ","Below Average","16.11","1.19","1.54","0.95","14.62","0.65"
"HDFC Small Cap Fund - Regular Plan","* * * ","Below Average","16.1","1.11","1.44","0.95","13.36","0.65"
"HDFC Top 200 Fund","* * * ","High","16.45","0.39","0.64","1.16","0.94","0.92"
"HDFC Top 200 Fund - Direct Plan","* * * ","High","16.46","0.43","0.71","1.16","1.65","0.92"
"HSBC Dynamic Asset Allocation Fund","* * * ","Low","11.53","0.43","0.75","0.83","1.08","0.96"
"HSBC Dynamic Asset Allocation Fund - Direct Plan","* * * ","Low","11.53","0.49","0.85","0.83","1.78","0.96"
"HSBC Large Cap Equity Fund","* * * ","Average","14.43","0.41","0.63","1.03","1.05","0.95"
"HSBC Large Cap Equity Fund - Direct Plan","* * * ","Average","14.44","0.46","0.71","1.03","1.77","0.95"
"HSBC Small Cap Equity Fund","* * ","Above Average","19.49","0.77","1.09","1.06","9.98","0.55"
"HSBC Small Cap Equity Fund - Direct Plan","* * ","Above Average","19.5","0.81","1.14","1.06","10.74","0.55"
"ICICI Prudential Advisor - Very Aggressive Fund","Unrated","-","5.81","1.18","2.68","0.33","5.26","0.61"
"ICICI Prudential Advisor-Very Aggressive Fund - Direct","Unrated","-","-","-","-","-","-","-"
"ICICI Prudential Dividend Yield Equity Fund","* * ","Average","14.42","0.68","1.07","0.93","5.43","0.78"
"ICICI Prudential Dividend Yield Equity Fund - Direct Plan","* * ","Average","14.53","0.72","1.13","0.94","6.04","0.78"
"ICICI Prudential Focused Bluechip Equity Fund","* * * * ","Below Average","13.1","0.54","0.84","0.93","2.65","0.94"
"ICICI Prudential Focused Bluechip Equity Fund - Direct Plan","* * * * * ","Below Average","13.1","0.61","0.96","0.93","3.62","0.94"
"ICICI Prudential Indo Asia Equity Fund","* * ","Below Average","14.88","0.63","1.02","0.89","5.25","0.66"
"ICICI Prudential Indo Asia Equity Fund - Direct Plan","* * * ","Below Average","14.88","0.67","1.08","0.89","5.76","0.66"
"ICICI Prudential Midcap Fund","* * * ","Above Average","15.55","0.67","0.99","0.87","6.27","0.59"
"ICICI Prudential Midcap Fund - Direct Plan","* * * ","Average","15.54","0.73","1.09","0.87","7.26","0.59"
"ICICI Prudential Nifty 100 iWIN ETF","* * * ","Average","13.2","0.43","0.71","0.96","1.11","0.99"
"ICICI Prudential Nifty Index Fund","* * ","Above Average","13.51","0.3","0.49","0.99","-0.63","1"
"ICICI Prudential Nifty Index Fund - Direct Plan","* * * ","Average","13.5","0.33","0.54","0.99","-0.25","1"
"ICICI Prudential Nifty iWIN ETF","* * * ","Average","13.54","0.36","0.59","0.99","0.22","1"
"ICICI Prudential Nifty Low Vol 30 IWin ETF","Unrated","-","-","-","-","-","-","-"
"ICICI Prudential NV20 iWIN ETF","Unrated","-","-","-","-","-","-","-"
"ICICI Prudential Select Large Cap Fund","* * * ","Average","13.49","0.28","0.46","0.93","-0.67","0.89"
"ICICI Prudential Select Large Cap Fund - Direct Plan","* * * ","Average","13.52","0.37","0.62","0.93","0.55","0.89"
"ICICI Prudential Sensex Index Fund","Unrated","-","-","-","-","-","-","-"
"ICICI Prudential Sensex Index Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"ICICI Prudential Sensex iWIN ETF","Unrated","-","13.21","0.34","0.53","0.96","-0.1","0.99"
"ICICI Prudential Value Discovery Fund","* * * * ","Below Average","12.72","0.4","0.63","0.84","1.14","0.82"
"ICICI Prudential Value Discovery Fund - Direct Plan","* * * * * ","Below Average","12.74","0.49","0.77","0.84","2.28","0.82"
"IDBI Diversified Equity Fund - Direct Plan","* * ","Low","11.58","0.57","0.83","0.7","3.29","0.68"
"IDBI Diversified Equity Fund - Regular Plan","* ","Below Average","11.56","0.46","0.67","0.7","2.02","0.68"
"IDBI Focused 30 Equity Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"IDBI Focused 30 Equity Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"IDBI India Top 100 Equity Fund","* * * ","Average","13.01","0.26","0.44","0.88","-0.76","0.86"
"IDBI India Top 100 Equity Fund - Direct Plan","* * * ","Average","13.02","0.35","0.6","0.89","0.39","0.86"
"IDBI Midcap Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"IDBI Midcap Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"IDBI Nifty Index Fund","* ","Above Average","13.51","0.22","0.36","0.99","-1.66","1"
"IDBI Nifty Index Fund - Direct Plan","* * ","Above Average","13.54","0.31","0.5","0.99","-0.53","1"
"IDBI Small Cap Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"IDBI Small Cap Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"IDFC Equity Fund - Direct Plan","* * * ","Below Average","12.86","0.42","0.66","0.91","1.12","0.94"
"IDFC Equity Fund - Regular Plan","* * * ","Average","12.86","0.31","0.48","0.91","-0.38","0.94"
"IDFC Nifty ETF","Unrated","-","-","-","-","-","-","-"
"IDFC Nifty Fund - Direct Plan","* * ","Average","13.54","0.34","0.55","0.99","-0.11","1"
"IDFC Nifty Fund - Regular Plan","* * ","Average","13.53","0.33","0.54","0.99","-0.21","1"
"IDFC Premier Equity Fund - Direct Plan","* * ","Average","13.88","0.54","0.73","0.8","3.69","0.61"
"IDFC Premier Equity Fund - Regular Plan","* * ","Average","13.87","0.49","0.66","0.8","2.98","0.61"
"IDFC Sensex ETF","Unrated","-","-","-","-","-","-","-"
"IDFC Sterling Equity Fund - Direct Plan","* * * ","Average","16.68","0.79","1.02","1","8.42","0.67"
"IDFC Sterling Equity Fund - Regular Plan","* * * ","Above Average","16.66","0.73","0.95","0.99","7.52","0.66"
"Indiabulls Bluechip Fund","* * * ","Above Average","14.97","0.48","0.76","1.01","2.45","0.85"
"Indiabulls Bluechip Fund - Direct Plan","* * * * ","Average","14.99","0.61","0.96","1.01","4.29","0.85"
"Indiabulls Value Discovery Fund - Direct Plan","Unrated","-","-","-","-","-","-","-"
"Indiabulls Value Discovery Fund - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Invesco India Business Leaders Fund","* * * * ","Below Average","12.94","0.43","0.64","0.91","1.28","0.93"
"Invesco India Business Leaders Fund - Direct Plan","* * * * ","Below Average","12.94","0.57","0.83","0.91","3.06","0.93"
"Invesco India Dynamic Equity Fund","* * * * ","Low","11.74","0.54","0.76","0.74","2.88","0.75"
"Invesco India Dynamic Equity Fund - Direct Plan","* * * * * ","Low","11.73","0.69","0.96","0.74","4.61","0.75"
"Invesco India Growth Fund","* * * * * ","Below Average","13.97","0.59","0.81","0.98","3.59","0.91"
"Invesco India Growth Fund - Direct Plan","* * * * * ","Low","14.01","0.72","0.99","0.98","5.4","0.91"
"Invesco India Mid Cap Fund","* * ","Above Average","14.87","0.57","0.78","0.89","4.21","0.67"
"Invesco India Mid Cap Fund - Direct Plan","* * * ","Average","14.9","0.69","0.95","0.9","6.04","0.68"
"Invesco India Mid N Small Cap Fund","* * * ","Average","14.96","0.57","0.78","0.9","4.32","0.68"
"Invesco India Mid N Small Cap Fund - Direct Plan","* * * ","Average","14.98","0.69","0.93","0.91","6.04","0.68"
"Invesco India Nifty Exchange Traded Fund","Unrated","-","13.6","0.36","0.58","1","0.13","1"
"JM Core 11 Fund","* * * * ","High","20.22","0.54","0.83","1.31","4.8","0.78"
"JM Core 11 Fund - Direct Plan","* * * * * ","High","20.26","0.62","0.95","1.31","6.31","0.78"
"JM Equity Fund","* ","Average","11.54","0.14","0.22","0.83","-2.28","0.97"
"JM Equity Fund - Direct Plan","* * * ","Average","11.54","0.27","0.42","0.83","-0.85","0.97"
"JM Multi Strategy Fund","* * * * ","High","15.43","0.54","0.86","1","3.58","0.79"
"JM Multi Strategy Fund - Direct Plan","* * * * * ","Above Average","15.46","0.64","1.02","1","5.11","0.79"
"Kotak 50 - Direct Plan","* * * * ","Below Average","13.14","0.49","0.77","0.94","1.99","0.95"
"Kotak 50 Regular Plan","* * * ","Average","13.14","0.39","0.61","0.94","0.67","0.95"
"Kotak Classic Equity - Direct Plan","* * * * ","Low","12.99","0.63","0.97","0.92","3.88","0.93"
"Kotak Classic Equity Regular Plan","* * * * ","Below Average","12.96","0.5","0.77","0.91","2.21","0.93"
"Kotak Emerging Equity Scheme - Direct Plan","* * * * ","Average","14.9","0.97","1.38","0.88","10.25","0.65"
"Kotak Emerging Equity Scheme Regular Plan","* * * ","Average","14.88","0.87","1.24","0.88","8.8","0.65"
"Kotak Mid-Cap - Direct Plan","* * * ","Average","15.64","0.91","1.41","0.94","9.73","0.67"
"Kotak Mid-Cap Regular Plan","* * * ","Average","15.61","0.81","1.26","0.93","8.2","0.67"
"Kotak Nifty ETF Fund","* * ","Average","13.48","0.33","0.53","0.98","-0.24","1"
"Kotak NV 20 ETF","Unrated","-","-","-","-","-","-","-"
"Kotak Select Focus Fund - Direct Plan","* * * * * ","Below Average","13.66","0.74","1.22","0.95","5.7","0.9"
"Kotak Select Focus Fund Regular Plan","* * * * * ","Below Average","13.64","0.66","1.08","0.94","4.58","0.89"
"Kotak Sensex ETF Fund","* * ","Average","13.47","0.32","0.5","0.98","-0.33","0.99"
"L&T Business Cycles Fund - Direct Plan","* * ","Above Average","16.57","0.56","0.79","1.06","4.36","0.76"
"L&T Business Cycles Fund - Regular Plan","* * ","Above Average","16.56","0.53","0.74","1.06","3.72","0.76"
"L&T Emerging Businesses Fund","* * * * ","Average","18.07","1.15","1.49","1.05","15.79","0.63"
"L&T Emerging Businesses Fund - Direct Plan","* * * * ","Average","18.08","1.19","1.54","1.05","16.53","0.63"
"L&T India Large Cap Fund","* * * ","Average","13.55","0.3","0.5","0.94","-0.38","0.9"
"L&T India Large Cap Fund - Direct Plan","* * * ","Average","13.56","0.35","0.59","0.94","0.36","0.9"
"L&T India Value Fund","* * * * ","Below Average","15.26","0.88","1.24","0.96","8.86","0.74"
"L&T India Value Fund - Direct Plan","* * * * * ","Low","15.27","0.93","1.31","0.96","9.7","0.74"
"L&T Midcap Fund","* * * * * ","Below Average","15.67","1","1.32","0.94","11.29","0.67"
"L&T Midcap Fund - Direct Plan","* * * * * ","Below Average","15.68","1.06","1.39","0.94","12.15","0.67"
"LIC MF Exchange Traded Fund - Nifty 100","Unrated","-","-","-","-","-","-","-"
"LIC MF Exchange Traded Fund - Nifty 50","Unrated","-","-","-","-","-","-","-"
"LIC MF Exchange Traded Fund - Sensex","Unrated","-","-","-","-","-","-","-"
"LIC MF Growth Fund","* * ","Average","12.64","0.21","0.34","0.88","-1.54","0.91"
"LIC MF Growth Fund - Direct Plan","* * * ","Average","12.68","0.29","0.47","0.88","-0.53","0.91"
"LIC MF Index-Nifty Plan","* ","Above Average","13.56","0.25","0.41","0.99","-1.24","1"
"LIC MF Index-Nifty Plan - Direct Plan","* * ","Above Average","13.58","0.29","0.47","0.99","-0.72","1"
"LIC MF Index-Sensex Plan","* ","Average","13.4","0.21","0.33","0.97","-1.82","0.99"
"LIC MF Index-Sensex Plan - Direct Plan","* ","Average","13.41","0.25","0.39","0.98","-1.26","0.99"
"LIC MF Midcap Fund - Direct Plan","* * * * ","Below Average","13.7","0.92","1.58","0.83","8.62","0.69"
"LIC MF Midcap Fund - Regular Plan","* * * ","Below Average","13.64","0.83","1.45","0.83","7.47","0.68"
"Mahindra Unnati Emerging Business Yojana - Direct Plan","Unrated","-","-","-","-","-","-","-"
"Mahindra Unnati Emerging Business Yojana - Regular Plan","Unrated","-","-","-","-","-","-","-"
"Mirae Asset Emerging Bluechip Fund - Direct Plan","* * * * * ","Low","14.32","1.17","1.56","0.88","12.6","0.71"
"Mirae Asset Emerging Bluechip Fund - Regular Plan","* * * * * ","Low","14.31","1.11","1.48","0.88","11.76","0.71"
"Mirae Asset India Equity Fund - Direct Plan","* * * * * ","Low","13.86","0.77","1.11","0.98","6.04","0.93"
"Mirae Asset India Equity Fund - Regular Plan","* * * * * ","Low","13.85","0.71","1.03","0.98","5.27","0.93"
"Motilal Oswal Focused 25 Fund - Direct Plan","* * * * * ","Below Average","12.74","0.61","0.88","0.78","4.12","0.69"
"Motilal Oswal Focused 25 Fund - Regular Plan","* * * * ","Below Average","12.73","0.5","0.73","0.77","2.76","0.69"
"Motilal Oswal M50 ETF Fund","* ","High","13.5","0.27","0.45","0.99","-0.97","1"
"Motilal Oswal Midcap 100 Exchange Traded Fund","* * ","Above Average","15.61","0.74","1.23","0.94","7.09","0.67"
"Motilal Oswal Midcap 30 Fund - Direct Plan","* * * ","Average","14.63","0.59","0.88","0.65","5.59","0.37"
"Motilal Oswal Midcap 30 Fund - Regular Plan","* * * ","Average","14.62","0.51","0.75","0.65","4.31","0.37"
"Principal Emerging Bluechip Fund","* * * * ","Average","16.45","0.85","1.27","1.04","9.16","0.74"
"Principal Emerging Bluechip Fund - Direct Plan","* * * * * ","Below Average","16.45","0.92","1.36","1.04","10.22","0.74"
"Principal Index Fund - Nifty","* * ","Above Average","13.58","0.29","0.47","0.99","-0.77","1"
"Principal Index Fund - Nifty - Direct Plan","* * ","Average","13.58","0.33","0.53","0.99","-0.27","1"
"Principal Large Cap Fund","* * * ","Above Average","14.26","0.4","0.65","1.01","1.01","0.93"
"Principal Large Cap Fund - Direct Plan","* * * ","Above Average","14.25","0.45","0.73","1.01","1.7","0.93"
"Quantum Long Term Equity - Regular Plan #","* * * * ","Below Average","-","-","-","-","-","-"
"Quantum Long Term Equity Fund - Direct Plan","* * * * ","Below Average","13.01","0.64","0.92","0.89","4.11","0.88"
"Quantum Nifty ETF","Unrated","-","13.58","0.35","0.56","0.99","0.02","1"
"Reliance ETF Dividend Opportunities","* * * ","Average","13.73","0.56","0.85","0.94","3.32","0.87"
"Reliance ETF Nifty 100","* * * ","Average","13.34","0.39","0.65","0.97","0.59","0.99"
"Reliance ETF Nifty BeES","* * * ","Average","13.59","0.34","0.56","0.99","-0.02","1"
"Reliance ETF NV20","Unrated","-","-","-","-","-","-","-"
"Reliance ETF Sensex","* * ","Average","13.44","0.34","0.53","0.98","-0.09","0.99"
"Reliance ETF Shariah BeES","Unrated","-","13.17","0.57","0.91","0.85","3.5","0.78"
"Reliance Focused Large Cap Fund","* * * ","Above Average","14.19","0.34","0.49","0.98","0.2","0.89"
