"Value Research Online"
"Date: 06-Apr-2018 11:21"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"Sundaram Diversified Equity Fund - Direct Plan","* * * ","Above Average","16.1","0.55","0.77","1.08","3.31","0.82"
"Tata India Tax Savings Fund","* * * * * ","Below Average","15.43","0.63","0.88","1","4.59","0.78"
"Tata India Tax Savings Fund - Direct Plan","* * * * * ","Below Average","15.45","0.7","0.98","1.01","5.72","0.78"
"Taurus Tax Shield Fund - Direct Plan","* * ","Above Average","14.49","0.63","0.94","1.02","3.97","0.92"
"Taurus Tax Shield Fund - Regular Plan","* * ","High","14.48","0.56","0.83","1.02","2.91","0.91"
"Union Tax Saver Fund","* ","Above Average","13.25","0.07","0.1","0.91","-3.65","0.86"
"Union Tax Saver Fund - Direct Plan","* ","Average","13.27","0.14","0.19","0.91","-2.77","0.86"
"UTI Long Term Equity Fund","* * ","Average","14.07","0.39","0.59","0.98","0.54","0.89"
"UTI Long Term Equity Fund - Direct Plan","* * * ","Average","14.07","0.46","0.69","0.98","1.48","0.89"
"# Rating is provisional"
