"Value Research Online"
"Date: 01-Apr-2018 13:10"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"ICICI Prudential Short Term Fund - Gilt Plan","* * ","Above Average","2.61","1.83","2.79","0.48","2.98","0.92"
"ICICI Prudential Short Term Fund - Gilt Plan - Direct Plan","* * * ","Average","2.61","1.98","3.02","0.48","3.38","0.92"
"IDBI Gilt Fund","* ","Above Average","5.15","0.05","0.09","0.93","-3.23","0.89"
"IDBI Gilt Fund - Direct Plan","* ","Above Average","5.14","0.21","0.42","0.93","-2.38","0.89"
"IDBI Liquid Fund","* * ","-","0.24","17.65","55.59","0.54","3.34","0.45"
"IDBI Liquid Fund - Direct Plan","* * * ","-","0.24","18.17","56.7","0.53","3.45","0.45"
"IDFC Cash Fund - Direct Plan","* * * ","-","0.26","16.45","40.69","0.58","3.39","0.44"
"IDFC Cash Fund - Regular Plan","* * ","-","0.26","16.06","40.23","0.59","3.31","0.44"
"IDFC Government Securities Fund - Investment Plan - Direct Plan","* * * * ","Below Average","4.75","0.76","1.43","0.85","0.44","0.86"
"IDFC Government Securities Fund - Investment Plan - Regular Plan","* * * ","Below Average","4.75","0.62","1.18","0.85","-0.21","0.86"
"IDFC Government Securities Fund - Provident Fund Plan - Direct Plan","* * * * ","Below Average","4.81","0.85","1.63","0.86","0.91","0.86"
"IDFC Government Securities Fund - Provident Fund Plan - Regular Plan","* * * * ","Below Average","4.81","0.76","1.46","0.86","0.46","0.86"
"IDFC Government Securities Fund - Short Term Plan - Direct Plan","* * * * ","Average","1.66","2.9","4.4","0.28","3.77","0.77"
"IDFC Government Securities Fund - Short Term Plan - Regular Plan","* * * * ","Average","1.66","2.82","4.37","0.28","3.64","0.78"
"IIFL Liquid Fund - Direct Plan","* * ","-","0.23","16.8","41.31","0.49","3.08","0.41"
"IIFL Liquid Fund - Regular Plan","* * ","-","0.23","16.6","41.01","0.49","3.03","0.41"
"Indiabulls Gilt Fund","* * * ","Below Average","4.51","0.86","1.53","0.81","0.86","0.87"
"Indiabulls Gilt Fund - Direct Plan","* * * * ","Low","4.52","1.03","1.84","0.81","1.67","0.87"
"Indiabulls Liquid Fund","* * * * ","-","0.25","17.74","40.05","0.52","3.55","0.39"
"Indiabulls Liquid Fund - Direct Plan","* * * * * ","-","0.25","18.08","40.59","0.52","3.65","0.39"
"Invesco India Gilt Fund","* * ","Above Average","5.81","0.37","0.78","1.05","-1.75","0.87"
"Invesco India Gilt Fund - Direct Plan","* * * ","Above Average","5.82","0.5","1.06","1.05","-0.98","0.87"
"Invesco India Liquid Fund","* * * ","-","0.25","17.15","41.2","0.55","3.41","0.43"
"Invesco India Liquid Fund - Direct Plan","* * * * ","-","0.25","17.41","41.66","0.55","3.48","0.43"
"JM G-Sec Fund","* * * ","Above Average","5.7","0.5","1.07","1.06","-1.09","0.93"
"JM G-Sec Fund - Direct Plan","* * * ","Above Average","5.71","0.63","1.37","1.06","-0.32","0.93"
"JM High Liquidity Fund","* * * * ","-","0.25","17.59","47.62","0.53","3.49","0.41"
"JM High Liquidity Fund - Direct Plan","* * * * * ","-","0.24","18.04","48.19","0.53","3.58","0.41"
"Kotak Floater Short Term - Direct Plan","* * * * ","-","0.27","16.28","41.53","0.62","3.39","0.48"
"Kotak Floater Short Term Regular Plan","* * * ","-","0.27","16.1","41.27","0.62","3.34","0.48"
"Kotak Gilt Investment - Direct Plan","* * * ","Above Average","5.8","0.69","1.2","1.1","-0.06","0.97"
"Kotak Gilt Investment - Regular Plan","* * ","High","5.79","0.5","0.86","1.1","-1.19","0.97"
"Kotak Gilt Investment Provident Fund and Trust Plan","* * ","High","5.79","0.5","0.87","1.1","-1.17","0.97"
"Kotak Gilt Investment Provident Fund and Trust Plan - Direct Plan","* * * ","Above Average","5.79","0.71","1.21","1.1","0.04","0.97"
"Kotak Liquid - Direct Plan","* * * ","-","0.26","16.47","40.84","0.59","3.37","0.45"
"Kotak Liquid - Regular Plan","* * * ","-","0.26","16.29","40.58","0.59","3.32","0.45"
"L&T Cash Fund","* ","-","0.31","10.36","26.23","0.66","2.17","0.4"
"L&T Cash Fund - Direct Plan","* * ","-","0.31","12.75","31.18","0.67","2.95","0.41"
"L&T Gilt Fund - Investment Plan","* * * ","Average","5.22","0.64","1.18","0.96","-0.22","0.92"
"L&T Gilt Fund - Investment Plan - Direct Plan","* * * * ","Average","5.24","0.88","1.62","0.97","1","0.92"
"L&T Liquid Fund","* * * ","-","0.25","17.05","38.06","0.55","3.4","0.43"
"L&T Liquid Fund - Direct Plan","* * * * ","-","0.25","17.17","38.48","0.56","3.46","0.43"
"LIC MF Government Securities Fund","* * ","Average","4.19","0.44","0.88","0.77","-0.99","0.9"
"LIC MF Government Securities Fund - Direct Plan","* * * ","Below Average","4.21","0.68","1.33","0.77","-0.01","0.9"
"LIC MF Government Securities Fund - Provident Fund","Unrated","-","-","-","-","-","-","-"
"LIC MF G-Sec Long Term Exchange Traded Fund","* * ","Above Average","4.56","0.64","1.04","0.84","-0.19","0.92"
"LIC MF Liquid Fund","* * ","-","0.25","16.73","44.59","0.55","3.36","0.42"
"LIC MF Liquid Fund - Direct Plan","* * * * ","-","0.25","17.57","45.21","0.54","3.51","0.41"
"Mahindra Liquid Fund - Direct Plan","* * * * * ","-","-","-","-","-","-","-"
"Mahindra Liquid Fund - Regular Plan","* * * ","-","-","-","-","-","-","-"
"Mirae Asset Cash Management Fund","* * ","-","0.22","18.28","46.28","0.43","3.28","0.35"
"Mirae Asset Cash Management Fund - Direct Plan","* * * ","-","0.22","19.06","40.87","0.45","3.45","0.37"
"Principal Cash Management Fund","* * * * ","-","0.25","17.14","40.43","0.55","3.47","0.42"
"Principal Cash Management Fund - Direct Plan","* * * * * ","-","0.25","17.39","40.85","0.55","3.54","0.42"
"Quantum Liquid - Regular Plan #","* * ","-","-","-","-","-","-","-"
"Quantum Liquid Fund - Direct Plan","* * ","-","0.28","13.16","31.39","0.72","2.53","0.6"
"Reliance ETF Liquid BeES","* ","-","0.22","11.89","19.31","0.34","2.07","0.21"
"Reliance ETF Long Term Gilt","* * ","Above Average","-","-","-","-","-","-"
"Reliance Gilt Securities Fund","* * * * ","Average","5.22","0.78","1.53","0.98","0.45","0.95"
"Reliance Gilt Securities Fund - Direct Plan","* * * * * ","Below Average","5.23","1","1.95","0.98","1.6","0.96"
"Reliance Gilt Securities PF","* * * * ","Average","5.22","0.78","1.53","0.98","0.45","0.95"
"Reliance Liquid Fund - Cash Plan","* ","-","0.29","11.87","34.23","0.71","2.39","0.51"
"Reliance Liquid Fund - Cash Plan - Direct Plan","* * * * ","-","0.3","14.98","40.14","0.71","3.33","0.51"
"Reliance Liquid Fund - Treasury Plan","* * * ","-","0.25","16.87","39.5","0.55","3.4","0.42"
"Reliance Liquid Fund - Treasury Plan - Direct Plan","* * * * ","-","0.25","17.09","40.1","0.56","3.48","0.43"
"Reliance Liquidity Fund","* * ","-","0.26","16.42","38.81","0.57","3.33","0.43"
"Reliance Liquidity Fund - Direct Plan","* * * ","-","0.26","16.8","39.49","0.57","3.43","0.43"
"SBI ETF 10 Year Gilt","Unrated","-","-","-","-","-","-","-"
"SBI Magnum Gilt Fund - Long Term Plan","* * * * * ","Below Average","4.95","0.82","1.73","0.91","0.7","0.91"
"SBI Magnum Gilt Fund - Long Term Plan - Direct Plan","* * * * * ","Below Average","4.96","0.93","1.95","0.91","1.22","0.91"
"SBI Magnum Gilt Fund - Short Term Plan","* * * * ","Below Average","1.66","3.31","7.71","0.27","4.48","0.73"
"SBI Magnum Gilt Fund - Short Term Plan - Direct Plan","* * * * * ","Below Average","1.66","3.52","8.22","0.27","4.82","0.73"
"SBI Magnum InstaCash Fund","* * * ","-","0.25","16.73","48.93","0.57","3.33","0.44"
"SBI Magnum InstaCash Fund - Direct Plan","* * * * ","-","0.25","17.5","49.62","0.55","3.44","0.45"
"SBI Magnum InstaCash Fund - Liquid Floater","* ","-","0.32","10.89","32.52","0.7","2.39","0.43"
"SBI Magnum InstaCash Fund - Liquid Floater - Direct Plan","* * ","-","0.32","11.19","32.82","0.71","2.51","0.43"
"SBI Premier Liquid Fund","* * ","-","0.26","16.11","53.96","0.56","3.31","0.41"
"SBI Premier Liquid Fund - Direct Plan","* * ","-","0.26","16.33","54.7","0.56","3.36","0.41"
"Sundaram Gilt Fund - Direct Plan","* * ","Below Average","4.15","0.54","1.03","0.78","-0.63","0.95"
"Sundaram Gilt Fund - Regular Plan","* ","Average","4.14","0.42","0.8","0.78","-1.13","0.95"
"Sundaram Money Fund - Direct Plan","* * * * ","-","0.24","18.17","51.86","0.51","3.51","0.4"
"Sundaram Money Fund - Regular Plan","* * * ","-","0.24","17.66","50.81","0.51","3.41","0.4"
